MTU (CET/CEST),Area,Total Generation Forecast (MW),Total Actual Generation (MW)
01/01/2025 00:00:00 - 01/01/2025 00:15:00,BZN|NL,10917.98,12027.99
01/01/2025 00:15:00 - 01/01/2025 00:30:00,BZN|NL,10720.9,11904.84
01/01/2025 00:30:00 - 01/01/2025 00:45:00,BZN|NL,10653.44,11710.34
01/01/2025 00:45:00 - 01/01/2025 01:00:00,BZN|NL,10484.41,11819
01/01/2025 01:00:00 - 01/01/2025 01:15:00,BZN|NL,10484.69,11283
01/01/2025 01:15:00 - 01/01/2025 01:30:00,BZN|NL,10447.83,11278.82
01/01/2025 01:30:00 - 01/01/2025 01:45:00,BZN|NL,10356.44,11167.01
01/01/2025 01:45:00 - 01/01/2025 02:00:00,BZN|NL,10262.1,11124.2
01/01/2025 02:00:00 - 01/01/2025 02:15:00,BZN|NL,10219.81,11659
01/01/2025 02:15:00 - 01/01/2025 02:30:00,BZN|NL,10180.96,11759.93
01/01/2025 02:30:00 - 01/01/2025 02:45:00,BZN|NL,10078.68,11533.16
01/01/2025 02:45:00 - 01/01/2025 03:00:00,BZN|NL,9987.95,11622.17
01/01/2025 03:00:00 - 01/01/2025 03:15:00,BZN|NL,10002.66,11693.21
01/01/2025 03:15:00 - 01/01/2025 03:30:00,BZN|NL,9950.6,11786.93
01/01/2025 03:30:00 - 01/01/2025 03:45:00,BZN|NL,9878.8,11617.47
01/01/2025 03:45:00 - 01/01/2025 04:00:00,BZN|NL,9757.51,11414.2
01/01/2025 04:00:00 - 01/01/2025 04:15:00,BZN|NL,9696.52,11274.15
01/01/2025 04:15:00 - 01/01/2025 04:30:00,BZN|NL,9689.38,11487.01
01/01/2025 04:30:00 - 01/01/2025 04:45:00,BZN|NL,9723.21,11492.58
01/01/2025 04:45:00 - 01/01/2025 05:00:00,BZN|NL,9765.97,11351.4
01/01/2025 05:00:00 - 01/01/2025 05:15:00,BZN|NL,9809.13,10928.97
01/01/2025 05:15:00 - 01/01/2025 05:30:00,BZN|NL,9926.55,10696.92
01/01/2025 05:30:00 - 01/01/2025 05:45:00,BZN|NL,9975.06,10930.22
01/01/2025 05:45:00 - 01/01/2025 06:00:00,BZN|NL,10087.16,10901.77
01/01/2025 06:00:00 - 01/01/2025 06:15:00,BZN|NL,10019.14,10954.81
