MTU (CET/CEST),Area,Day-ahead onshore wind (MW),Intraday onshore wind (MW),Actual onshore wind (MW)
01/01/2025 00:00:00 - 01/01/2025 00:15:00,BZN|NL,4996,4996,2420.62
01/01/2025 00:15:00 - 01/01/2025 00:30:00,BZN|NL,5003,5003,2356.31
01/01/2025 00:30:00 - 01/01/2025 00:45:00,BZN|NL,5014,5014,2290.36
01/01/2025 00:45:00 - 01/01/2025 01:00:00,BZN|NL,5023,5023,2278.82
01/01/2025 01:00:00 - 01/01/2025 01:15:00,BZN|NL,5034,5034,2247.28
01/01/2025 01:15:00 - 01/01/2025 01:30:00,BZN|NL,5041,5041,2248.29
01/01/2025 01:30:00 - 01/01/2025 01:45:00,BZN|NL,5046,5046,2276.79
01/01/2025 01:45:00 - 01/01/2025 02:00:00,BZN|NL,5051,5051,2224.66
01/01/2025 02:00:00 - 01/01/2025 02:15:00,BZN|NL,5059,5059,2296.99
01/01/2025 02:15:00 - 01/01/2025 02:30:00,BZN|NL,5063,5063,2306.49
01/01/2025 02:30:00 - 01/01/2025 02:45:00,BZN|NL,5069,5069,2296.64
01/01/2025 02:45:00 - 01/01/2025 03:00:00,BZN|NL,5074,5074,2293.63
01/01/2025 03:00:00 - 01/01/2025 03:15:00,BZN|NL,5080,5080,2288.42
01/01/2025 03:15:00 - 01/01/2025 03:30:00,BZN|NL,5084,5084,2274.24
01/01/2025 03:30:00 - 01/01/2025 03:45:00,BZN|NL,5089,5089,2241.32
01/01/2025 03:45:00 - 01/01/2025 04:00:00,BZN|NL,5092,5092,2265.22
01/01/2025 04:00:00 - 01/01/2025 04:15:00,BZN|NL,5097,5097,2207.45
01/01/2025 04:15:00 - 01/01/2025 04:30:00,BZN|NL,5095,5095,2284.6
01/01/2025 04:30:00 - 01/01/2025 04:45:00,BZN|NL,5090,5090,2332.76
01/01/2025 04:45:00 - 01/01/2025 05:00:00,BZN|NL,5085,5085,2314.32
01/01/2025 05:00:00 - 01/01/2025 05:15:00,BZN|NL,5080,5080,2272.76
01/01/2025 05:15:00 - 01/01/2025 05:30:00,BZN|NL,5013,5013,2306.77
01/01/2025 05:30:00 - 01/01/2025 05:45:00,BZN|NL,4883,4883,2314.82
01/01/2025 05:45:00 - 01/01/2025 06:00:00,BZN|NL,4753,4753,2325.67
01/01/2025 06:00:00 - 01/01/2025 06:15:00,BZN|NL,4622,4622,2318.75
01/01/2025 06:15:00 - 01/01/2025 06:30:00,BZN|NL,4555,4555,2297.48
01/01/2025 06:30:00 - 01/01/2025 06:45:00,BZN|NL,4551,4551,2325.79
01/01/2025 06:45:00 - 01/01/2025 07:00:00,BZN|NL,4546,4546,2296.91
01/01/2025 07:00:00 - 01/01/2025 07:15:00,BZN|NL,4542,4542,2231.16
01/01/2025 07:15:00 - 01/01/2025 07:30:00,BZN|NL,4538,4538,2238.38
01/01/2025 07:30:00 - 01/01/2025 07:45:00,BZN|NL,4537,4537,2262.6
01/01/2025 07:45:00 - 01/01/2025 08:00:00,BZN|NL,4536,4536,2265.51
01/01/2025 08:00:00 - 01/01/2025 08:15:00,BZN|NL,4534,4534,2161.22
01/01/2025 08:15:00 - 01/01/2025 08:30:00,BZN|NL,4534,4534,2217.71
01/01/2025 08:30:00 - 01/01/2025 08:45:00,BZN|NL,4532,4532,2251.56
01/01/2025 08:45:00 - 01/01/2025 09:00:00,BZN|NL,4533,4533,2245.47
01/01/2025 09:00:00 - 01/01/2025 09:15:00,BZN|NL,4530,4530,2257.7
01/01/2025 09:15:00 - 01/01/2025 09:30:00,BZN|NL,4533,4533,2148.38
01/01/2025 09:30:00 - 01/01/2025 09:45:00,BZN|NL,4536,4536,2147.83
01/01/2025 09:45:00 - 01/01/2025 10:00:00,BZN|NL,4539,4539,2211.19
01/01/2025 10:00:00 - 01/01/2025 10:15:00,BZN|NL,4540,4540,2134.37
01/01/2025 10:15:00 - 01/01/2025 10:30:00,BZN|NL,4546,4546,2125.13
